File,Era,ProductId,JigId,TestID,SweepID,RunRole,H1_Deg,H2_Deg,H36_Deg,RatioH2H36,RatioH1H36
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,54,53,OFFICIAL,0.249912668078746,0.117956170015942,0.817482271153306,0.144292022198266,0.305710199349239
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,55,54,OFFICIAL,0.255472578962015,0.11641721292629,0.820589555701006,0.141870210408464,0.311328089892361
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 1.txt,legacy-root,P06,JIG1,56,55,OFFICIAL,0.254439834517872,0.114048421613388,0.817776134479518,0.139461665368818,0.311136292427772
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,1,1,PRECONDITION,0.275398893792207,0.118473452785354,0.809842231147374,0.146292016183822,0.340064870909518
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,2,2,OFFICIAL,0.283631009098652,0.117934952714721,0.821981889359001,0.143476339614598,0.345057491862544
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,3,3,OFFICIAL,0.282301061005256,0.118577128823855,0.818601039521847,0.144853381682873,0.34485793124591
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,4,4,OFFICIAL,0.283065890875567,0.121480516458074,0.821595929458033,0.147859199519414,0.344531759136504
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,5,5,OFFICIAL,0.287044790824041,0.124449405065931,0.819692997430157,0.151824409206979,0.350185730174545
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,6,6,OFFICIAL,0.28264589109709,0.120742629378262,0.820169952953433,0.147216596930268,0.344618685528874
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,7,7,OFFICIAL,0.284014021992555,0.116275348900773,0.820396176846884,0.14173072983795,0.346191303674935
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,8,8,OFFICIAL,0.283902759906781,0.117726275539712,0.819127995499991,0.14372146500481,0.346591450257403
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,9,9,OFFICIAL,0.283629096010944,0.121352696335077,0.820330345862096,0.147931497289114,0.345749852412048
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,10,10,OFFICIAL,0.284668551168083,0.12420853975533,0.821692772052192,0.151161777223764,0.346441590884533
C:\learn\rd\jig\B0-B p06 jig 1 test 23 lần 2.txt,legacy-root,P06,JIG1,11,11,OFFICIAL,0.282691669595633,0.119651961287652,0.817648743922456,0.146336629484262,0.345737300640241
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,57,56,PRECONDITION,0.354376469022254,0.2410179060112,0.883128699523976,0.272913683069199,0.401273867798963
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,58,57,OFFICIAL,0.18385371984101,0.09242082939914,0.860167522541782,0.107445151063176,0.213741759625759
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,59,58,OFFICIAL,0.202947803453639,0.105522176139997,0.855608028900393,0.123330044337722,0.237197170431491
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,60,59,OFFICIAL,0.203243552048562,0.101165746675423,0.855595406224344,0.118240170458438,0.237546333897999
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,61,60,OFFICIAL,0.197285257547387,0.101765839741053,0.855605805989028,0.118940099551356,0.230579615246225
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,62,61,OFFICIAL,0.193471459159132,0.105929315690654,0.854214444589067,0.124007872217161,0.226490502923074
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,63,62,OFFICIAL,0.199954469985414,0.0980414656953051,0.852734026883011,0.114973089620541,0.234486327133333
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,64,63,OFFICIAL,0.197927209838991,0.0908104766118686,0.852752643008529,0.106490994025521,0.232103894912245
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,65,64,OFFICIAL,0.197934096671305,0.0817082844390147,0.851954941205131,0.0959068144184179,0.232329301818847
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,66,65,OFFICIAL,0.185030605176219,0.0822083063676727,0.852752240563396,0.0964035067364459,0.216980497235601
C:\learn\rd\jig\B0-B p07 jig 1 test 23 lần 1.txt,legacy-root,P07,JIG1,67,66,OFFICIAL,0.199031917103015,0.0864664132869996,0.854292427645873,0.101214069666133,0.232978674119208
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,1,1,PRECONDITION,0.235439799973831,0.142908230056793,0.8897811535081,0.160610538325469,0.264604165918298
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,2,2,OFFICIAL,0.241418416482838,0.14874345646011,0.896586354125524,0.165899754971383,0.269263987090572
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,3,3,OFFICIAL,0.23086513157521,0.154902114613855,0.894669070398398,0.173139007191649,0.258045280890738
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,4,4,OFFICIAL,0.222035361151611,0.155548824930238,0.894265528892963,0.173940311802913,0.248287956963381
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,5,5,OFFICIAL,0.231047952456317,0.156130238453995,0.894541884559929,0.17453653221705,0.258286343484052
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,6,6,OFFICIAL,0.218218419054834,0.160062231223003,0.891771545622844,0.179487932765572,0.244702155082132
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,7,7,OFFICIAL,0.232518989536231,0.156889346684963,0.89266497739032,0.175753894975945,0.260477329597934
C:\learn\rd\jig\B0-B v3 p03 jig 1 test 24 lần 1.txt,legacy-root,P03,JIG1,8,8,OFFICIAL,0.241195902629545,0.161050316546732,0.892072157149065,0.180535078083174,0.270377122183
