Point,remount01_MeanAbsPositionErrorRaw_Primary,remount01_MeanAbsPositionErrorDeg_Primary,remount01_MeanAbsPositionErrorRaw_Sensitivity,remount01_SensitivitySweepCount,remount02_MeanAbsPositionErrorRaw_Primary,remount02_MeanAbsPositionErrorDeg_Primary,remount02_MeanAbsPositionErrorRaw_Sensitivity,remount02_SensitivitySweepCount,remount03_MeanAbsPositionErrorRaw_Primary,remount03_MeanAbsPositionErrorDeg_Primary,remount03_MeanAbsPositionErrorRaw_Sensitivity,remount03_SensitivitySweepCount
92,156.000000,0.856933594,156.000000,3,148.666667,0.816650391,148.666667,3,164.500000,0.903625488,166.000000,3
93,186.333333,1.023559570,186.333333,3,188.333333,1.034545898,188.333333,3,192.500000,1.057434082,194.666667,3
94,203.000000,1.115112305,203.000000,3,210.333333,1.155395508,210.333333,3,220.500000,1.211242676,220.000000,3
95,165.666667,0.910034180,165.666667,3,172.666667,0.948486328,172.666667,3,177.000000,0.972290039,179.666667,3
96,82.666667,0.454101562,82.666667,3,79.000000,0.433959961,79.000000,3,52.000000,0.285644531,54.333333,3
97,154.666667,0.849609375,154.666667,3,140.666667,0.772705078,140.666667,3,125.500000,0.689392090,128.000000,3
98,144.666667,0.794677734,144.666667,3,136.333333,0.748901367,136.333333,3,124.000000,0.681152344,122.666667,3
99,114.000000,0.626220703,114.000000,3,121.666667,0.668334961,121.666667,3,98.000000,0.538330078,97.000000,3
100,56.666667,0.311279297,56.666667,3,50.000000,0.274658203,50.000000,3,40.000000,0.219726562,38.666667,3
101,27.666667,0.151977539,27.666667,3,38.000000,0.208740234,38.000000,3,48.500000,0.266418457,49.666667,3
102,69.666667,0.382690430,69.666667,3,82.333333,0.452270508,82.333333,3,88.000000,0.483398438,88.000000,3
103,96.666667,0.531005859,96.666667,3,108.000000,0.593261719,108.000000,3,107.500000,0.590515137,110.333333,3
104,66.000000,0.362548828,66.000000,3,84.000000,0.461425781,84.000000,3,99.500000,0.546569824,99.000000,3
105,142.000000,0.780029297,142.000000,3,120.000000,0.659179688,120.000000,3,111.000000,0.609741211,112.333333,3
106,261.000000,1.433715820,261.000000,3,254.000000,1.395263672,254.000000,3,241.000000,1.323852539,243.333333,3
107,269.000000,1.477661133,269.000000,3,265.000000,1.455688477,265.000000,3,264.500000,1.452941895,259.333333,3
108,224.666667,1.234130859,224.666667,3,223.666667,1.228637695,223.666667,3,209.000000,1.148071289,208.666667,3
109,176.666667,0.970458984,176.666667,3,172.000000,0.944824219,172.000000,3,152.500000,0.837707520,151.666667,3
110,84.666667,0.465087891,84.666667,3,83.666667,0.459594727,83.666667,3,68.500000,0.376281738,68.333333,3
111,4.333333,0.023803711,4.333333,3,5.666667,0.031127930,5.666667,3,11.500000,0.063171387,12.000000,3
112,51.333333,0.281982422,51.333333,3,50.000000,0.274658203,50.000000,3,63.000000,0.346069336,61.666667,3
113,84.666667,0.465087891,84.666667,3,73.666667,0.404663086,73.666667,3,89.500000,0.491638184,90.333333,3
114,84.333333,0.463256836,84.333333,3,59.666667,0.327758789,59.666667,3,82.000000,0.450439453,82.666667,3
115,69.000000,0.379028320,69.000000,3,56.000000,0.307617188,56.000000,3,70.000000,0.384521484,67.000000,3
116,170.666667,0.937500000,170.666667,3,174.000000,0.955810547,174.000000,3,168.500000,0.925598145,171.000000,3
117,185.333333,1.018066406,185.333333,3,195.333333,1.072998047,195.333333,3,183.000000,1.005249023,184.333333,3
118,146.000000,0.802001953,146.000000,3,161.000000,0.884399414,161.000000,3,147.000000,0.807495117,145.666667,3
119,98.666667,0.541992188,98.666667,3,117.000000,0.642700195,117.000000,3,100.500000,0.552062988,97.666667,3
120,19.333333,0.106201172,19.333333,3,40.666667,0.223388672,40.666667,3,22.000000,0.120849609,19.333333,3
121,78.000000,0.428466797,78.000000,3,67.000000,0.368041992,67.000000,3,80.000000,0.439453125,80.666667,3
122,138.000000,0.758056641,138.000000,3,132.333333,0.726928711,132.333333,3,137.000000,0.752563477,138.666667,3
123,186.333333,1.023559570,186.333333,3,180.000000,0.988769531,180.000000,3,188.000000,1.032714844,188.000000,3
124,199.333333,1.094970703,199.333333,3,195.000000,1.071166992,195.000000,3,202.500000,1.112365723,204.000000,3
125,139.333333,0.765380859,139.333333,3,132.333333,0.726928711,132.333333,3,145.000000,0.796508789,147.333333,3
126,81.000000,0.444946289,81.000000,3,82.333333,0.452270508,82.333333,3,84.000000,0.461425781,79.000000,3
127,128.666667,0.706787109,128.666667,3,118.666667,0.651855469,118.666667,3,118.500000,0.650939941,118.000000,3
128,106.666667,0.585937500,106.666667,3,109.000000,0.598754883,109.000000,3,94.000000,0.516357422,94.666667,3
129,64.666667,0.355224609,64.666667,3,63.666667,0.349731445,63.666667,3,50.000000,0.274658203,49.333333,3
