MechanicalAngleDeg,MeasuredErrorDeg,H36FitDeg,ElectricalFamilyFitDeg,Extended12OrderFitDeg,ElectricalFamilyResidualDeg
81.0,-0.27399,0.0024843636700018212,-0.02212601952533705,-0.2312337866827017,-0.25186398047466296
82.0,-0.00885,0.4075928238854626,0.20094156960918635,-0.027290484071673074,-0.20979156960918635
83.0,0.20792,0.5056130710006355,0.44230764144971907,0.21676784238954333,-0.23438764144971908
84.0,0.30319,0.25910470220318993,0.5561471638339436,0.35238858122572775,-0.25295716383394357
85.0,-0.42154,-0.23777446413753947,-0.11073374425640517,-0.2871924012406709,-0.3108062557435949
86.0,-1.45758,-0.7952334747811214,-1.0692070195253438,-1.2289971622896292,-0.3883729804746563
87.0,-1.58975,-1.200341934996572,-1.342592708168586,-1.5050945343523152,-0.247157291831414
88.0,-1.46948,-1.2983621821117453,-1.1521061363280563,-1.3323281611009343,-0.31737386367194365
89.0,-1.11682,-1.0518538133143034,-0.9487279472771704,-1.1462783298376418,-0.16809205272282957
90.0,-0.57684,-0.554974646973575,-0.5176483553675145,-0.7146007508221144,-0.059191644632485496
91.0,-0.1842,0.002484363670007428,-0.022126019525333163,-0.19155235762430506,-0.16207398047466684
92.0,0.01501,0.40759282388545937,0.20094156960918258,0.08015662015585377,-0.18593156960918258
93.0,0.29898,0.5056130710006346,0.4423076414497203,0.37246930079341356,-0.14332764144972027
94.0,0.4743,0.25910470220319015,0.5561471638339454,0.516773279503768,-0.08184716383394536
95.0,-0.01578,-0.23777446413754563,-0.11073374425641291,-0.15566638613399977,0.09495374425641291
96.0,-0.99591,-0.7952334747811156,-1.069207019525336,-1.1568101337795542,0.07329701952533607
97.0,-1.44742,-1.2003419349965752,-1.3425927081685884,-1.4972874740879034,-0.10482729183141148
98.0,-1.45209,-1.2983621821117461,-1.1521061363280616,-1.3797090781116466,-0.2999838636719385
99.0,-1.2692,-1.0518538133142992,-0.9487279472771629,-1.2408183979067693,-0.3204720527228372
100.0,-0.89395,-0.5549746469735688,-0.5176483553675117,-0.8626094726017096,-0.3763016446324883
101.0,-0.43195,0.0024843636700071503,-0.022126019525333565,-0.41551463839023917,-0.40982398047466645
102.0,-0.19009,0.40759282388545925,0.20094156960917992,-0.24667483848697064,-0.39103156960917995
103.0,0.02817,0.5056130710006355,0.4423076414497197,-0.0694165831394831,-0.41413764144971965
104.0,0.12112,0.25910470220319026,0.5561471638339448,-0.022166305073295478,-0.4350271638339448
105.0,-0.93411,-0.23777446413753264,-0.11073374425639702,-0.7413488647983104,-0.823376255743603
106.0,-1.70361,-0.795233474781121,-1.0692070195253434,-1.7202630004346362,-0.6344029804746567
107.0,-1.88718,-1.200341934996572,-1.3425927081685844,-1.9739650063143959,-0.5445872918314156
108.0,-1.68262,-1.2983621821117461,-1.152106136328061,-1.730383793020626,-0.5305138636719391
109.0,-1.37732,-1.0518538133142992,-0.9487279472771645,-1.4598694302295725,-0.4285920527228356
110.0,-0.89001,-0.5549746469735626,-0.517648355367509,-0.9703572807551596,-0.372361644632491
111.0,-0.47849,0.002484363670001155,-0.02212601952533763,-0.44005615023779815,-0.4563639804746624
112.0,-0.2168,0.40759282388546225,0.20094156960918866,-0.20616412810457008,-0.4177415696091886
113.0,0.02957,0.5056130710006347,0.442307641449721,0.03519001498007154,-0.412737641449721
114.0,0.13446,0.2591047022031858,0.5561471638339401,0.1562401846890793,-0.4216871638339401
115.0,-0.41077,-0.2377744641375388,-0.11073374425640481,-0.4839850484785169,-0.3000362557435952
