MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
A1,BackoffObservedDeltaRaw,80,0.0971570939979096,0.391249546135431,0.249832709984595,0.0254191796761344,8,6,2,0.212553995324131,0.249832709984595
A1,BackoffFeedforwardTargetErrorRaw,80,0.0971570939979096,0.391249546135431,0.249832709984595,0.0254191796761346,8,6,2,0.212553995324132,0.249832709984595
A1,BackoffTargetErrorRaw,80,0.0971570939979096,0.391249546135431,0.249832709984595,0.0254191796761346,8,6,2,0.212553995324132,0.249832709984595
A1,AbsClosureErrorDeg,80,-0.25393541846816,0.0230312589036877,-0.248954904307319,0.0259565020631446,8,5,3,-0.406441947174442,0.248954904307319
A3,ClosureErrorDeg,80,0.249980955888766,0.0253293734141481,0.246768862474755,0.0273366234206953,8,6,2,0.252725070882482,0.246768862474755
Residual_RMS_H36,CrestFactor,80,0.268474926825331,0.0160443363936257,0.246486599153799,0.0275192710499927,8,6,2,0.32852456951351,0.246486599153799
MeanDC,A1,80,-0.359366770893079,0.0010611798256417,-0.245194225461716,0.0283687805287762,8,5,3,-0.488318167612882,0.245194225461716
Residual_RMS_Full,ShadowP2P,80,0.0458058785576127,0.686606879723219,0.245134644674872,0.028408472808063,8,6,2,0.274797419419604,0.245134644674872
A3,BackoffFeedforwardTargetErrorRaw,80,-0.202820406454159,0.0711791032126985,-0.244500309219399,0.0288339788205097,8,6,2,-0.410594061488483,0.244500309219399
A3,BackoffTargetErrorRaw,80,-0.202820406454159,0.0711791032126985,-0.244500309219399,0.0288339788205097,8,6,2,-0.410594061488483,0.244500309219399
A3,BackoffObservedDeltaRaw,80,-0.202820406454159,0.0711791032126985,-0.244500309219399,0.0288339788205097,8,6,2,-0.410594061488482,0.244500309219399
Residual_RMS_H36,AnalysisStartRaw,80,-0.0268033013482468,0.813428552712849,0.243117691026638,0.0297800973383312,8,5,3,0.272951294975003,0.243117691026638
A12,AbsClosureErrorDeg,80,0.060738181642814,0.592509315498328,0.242698367213,0.0300721599636426,8,5,3,0.202535128431928,0.242698367213
A108,P99_AbsDeviation,80,0.101856826437777,0.368632408853077,0.24023464486484,0.0318373447747461,8,6,2,0.243122729276789,0.24023464486484
Residual_RMS_Full,FitExplainedRatio,80,-0.453113659906543,2.43775212143966e-05,-0.240216917944265,0.0318503545688136,8,6,2,-0.364229673324784,0.240216917944265
Fitted_P2P,AbsApproachReturnErrorRaw,80,-0.190609790125006,0.090341461173942,-0.239878746483129,0.0320993958880984,8,7,1,-0.282851821934348,0.239878746483129
A3,A6,80,0.192244098442746,0.0875628339750057,0.239848386388304,0.0321218339610912,8,5,3,0.334201593021443,0.239848386388304
NL_RobustP2P,ForwardFeedforwardTargetErrorRaw,80,-0.203279897092703,0.0705274263670864,-0.23486397545177,0.0359887033750419,8,5,3,-0.222166860350905,0.23486397545177
NL_RobustP2P,ApproachTargetErrorRaw,80,-0.203279897092703,0.0705274263670864,-0.23486397545177,0.0359887033750419,8,5,3,-0.222166860350905,0.23486397545177
NL_RobustP2P,ApproachObservedDeltaRaw,80,-0.203279897092703,0.0705274263670864,-0.23486397545177,0.0359887033750419,8,5,3,-0.222166860350904,0.23486397545177
A9,ClosureErrorDeg,80,0.239321021653203,0.0325136984838749,0.234530791374623,0.0362604985810961,8,5,3,0.335147618433249,0.234530791374623
A12,Residual_RMS_H6,80,0.338224725239364,0.002151090661844,0.234530070111403,0.0362610888079345,8,6,2,0.0866970748467021,0.234530070111403
A36,BackoffObservedDeltaRaw,80,0.344897602187241,0.0017300720873275,0.231898434728049,0.0384687453046296,8,5,3,0.273387730791972,0.231898434728049
A36,BackoffFeedforwardTargetErrorRaw,80,0.344897602187241,0.00173007208732751,0.231898434728049,0.0384687453046296,8,5,3,0.273387730791973,0.231898434728049
A36,BackoffTargetErrorRaw,80,0.344897602187241,0.00173007208732751,0.231898434728049,0.0384687453046296,8,5,3,0.273387730791973,0.231898434728049
